ocs,wv0010,Latitude,wv1500,Longitude,wv0033,phh2o,soc,silt,cec,nitrogen,ocd,clay,Error,sand,cfvo,bdod
,,20.2,,92.2,,,,,,,,,,,,
,,20.2,,92.3,,,,,,,,,,,,
,,20.2,,92.4,,,,,,,,,,,,
,,20.2,,92.5,,,,,,,,,,,,
,,20.2,,92.6,,,,,,,,,,,,
,,20.2,,92.7,,,,,,,,,,,,
,,20.2,,92.8,,,,,,,,,No data available,,,
55,371,20.2,192,92.9,320,59,416,368,276,291,355,349,,284,109,125
,,20.2,,93.0,,,,,,,,,,,,
,,20.2,,93.1,,,,,,,,,,,,
54,371,20.2,192,93.2,320,59,308,342,265,291,321,366,,293,129,124
,,20.2,,93.3,,,,,,,,,,,,
,,20.2,,93.4,,,,,,,,,,,,
63,389,20.2,176,93.5,330,57,336,299,237,241,383,302,,399,192,117
58,375,20.2,174,93.6,333,57,371,321,237,248,361,256,,423,180,120
77,389,20.2,190,93.7,340,56,385,297,212,270,393,270,,433,202,118
57,372,20.2,164,93.8,330,56,337,320,193,247,389,254,,426,211,119
64,392,20.2,182,93.9,336,56,364,332,204,318,357,261,,407,245,120
73,409,20.2,188,94.0,342,55,451,348,230,310,410,268,,384,226,122
69,417,20.2,187,94.1,342,54,481,343,205,363,417,272,,385,166,118
67,415,20.2,193,94.2,342,56,506,342,199,403,434,281,,377,191,109
60,398,20.2,173,94.3,332,56,377,277,204,272,354,283,,440,234,119
,,20.2,,94.4,,,,,,,,,No data available,,,
50,374,20.2,160,94.5,294,60,239,265,216,178,302,337,,399,196,133
44,363,20.2,147,94.6,278,65,293,262,221,177,292,331,,407,123,130
44,358,20.2,161,94.7,269,65,214,315,211,204,308,328,,357,92,136
48,355,20.2,176,94.8,262,66,248,294,229,206,308,373,,332,89,135
,,20.2,,94.9,,,,,,,,,,,,
42,359,20.2,166,95.0,300,65,389,242,177,216,258,363,,395,143,
44,377,20.2,153,95.1,301,67,405,245,210,180,281,337,,418,174,
,,20.2,,95.2,296,,,,,,,,,,,
45,381,20.2,163,95.3,297,68,346,263,185,196,284,322,,414,96,131
45,371,20.2,166,95.4,264,67,198,286,201,200,265,355,,359,62,138
43,371,20.2,167,95.5,299,67,294,279,247,229,256,326,,395,124,128
48,380,20.2,162,95.6,284,67,390,258,218,203,266,300,,441,119,132
,,20.2,,95.7,,,,,,,,,No data available,,,
47,383,20.2,165,95.8,296,66,273,264,225,209,295,305,,431,154,136
39,378,20.2,161,95.9,293,66,239,295,188,173,274,275,,431,117,140
43,382,20.2,172,96.0,288,67,203,288,154,150,269,315,,398,101,132
43,368,20.2,174,96.1,301,62,234,239,167,199,257,301,,460,136,134
40,369,20.2,195,96.2,291,66,196,328,180,159,276,304,,368,97,137
44,375,20.2,180,96.3,301,63,234,333,185,163,260,298,,370,110,133
62,362,20.2,188,96.4,284,56,434,290,210,365,375,279,,432,188,114
57,357,20.2,179,96.5,276,57,336,279,207,233,320,297,,424,187,119
,,20.2,,96.6,,,,,,,,,No data available,,,
67,404,20.2,180,96.7,354,57,300,286,183,260,343,343,,371,133,110
61,406,20.2,177,96.8,347,59,292,304,175,209,324,328,,367,145,116
58,403,20.2,177,96.9,342,59,232,327,152,212,305,315,,358,130,121
56,395,20.2,178,97.0,337,60,309,282,158,210,299,313,,405,128,121
69,408,20.2,182,97.1,349,57,398,281,198,396,322,327,,393,227,106
46,394,20.2,173,97.2,336,62,255,383,176,201,321,261,,356,101,128
62,406,20.2,173,97.3,350,57,358,298,154,237,291,331,,370,125,113
72,423,20.2,173,97.4,348,58,370,307,188,273,336,313,,380,152,113
,,20.2,,97.5,,,,,,,,,No data available,,,
64,404,20.2,185,97.6,337,56,324,313,180,262,320,298,,389,149,117
47,388,20.2,164,97.7,330,58,214,358,171,172,270,241,,401,90,122
58,401,20.2,155,97.8,331,61,252,359,192,214,306,268,,373,133,122
55,399,20.2,153,97.9,337,59,227,359,210,177,291,293,,348,153,122
65,405,20.2,157,98.0,345,56,321,284,167,369,328,306,,409,182,114
,,20.3,,68,,,,,,,,,,,,
,,20.3,,68.1,,,,,,,,,,,,
,,20.3,,68.2,,,,,,,,,,,,
,,20.3,,68.3,,,,,,,,,,,,
,,20.3,,68.4,,,,,,,,,,,,
,,20.3,,68.5,,,,,,,,,,,,
,,20.3,,68.6,,,,,,,,,,,,
,,20.3,,68.7,,,,,,,,,,,,
,,20.3,,68.8,,,,,,,,,,,,
,,20.3,,68.9,,,,,,,,,,,,
,,20.3,,69.0,,,,,,,,,,,,
,,20.3,,69.1,,,,,,,,,,,,
,,20.3,,69.2,,,,,,,,,No data available,,,
,,20.3,,69.3,,,,,,,,,,,,
,,20.3,,69.4,,,,,,,,,,,,
,,20.3,,69.5,,,,,,,,,,,,
,,20.3,,69.6,,,,,,,,,,,,
,,20.3,,69.7,,,,,,,,,,,,
,,20.3,,69.8,,,,,,,,,,,,
,,20.3,,69.9,,,,,,,,,,,,
,,20.3,,70.0,,,,,,,,,,,,
,,20.3,,70.1,,,,,,,,,,,,
,,20.3,,70.2,,,,,,,,,,,,
,,20.3,,70.3,,,,,,,,,,,,
,,20.3,,70.4,,,,,,,,,,,,
,,20.3,,70.5,,,,,,,,,,,,
,,20.3,,70.6,,,,,,,,,,,,
,,20.3,,70.7,,,,,,,,,,,,
,,20.3,,70.8,,,,,,,,,,,,
,,20.3,,70.9,,,,,,,,,,,,
,,20.3,,71.0,,,,,,,,,,,,
,,20.3,,71.1,,,,,,,,,,,,
,,20.3,,71.2,,,,,,,,,,,,
,,20.3,,71.3,,,,,,,,,,,,
,,20.3,,71.4,,,,,,,,,,,,
,,20.3,,71.5,,,,,,,,,,,,
,,20.3,,71.6,,,,,,,,,,,,
,,20.3,,71.7,,,,,,,,,,,,
,,20.3,,71.8,,,,,,,,,,,,
,,20.3,,71.9,,,,,,,,,,,,
,,20.3,,72.0,,,,,,,,,,,,
,,20.3,,72.1,,,,,,,,,,,,
,,20.3,,72.2,,,,,,,,,,,,
,,20.3,,72.3,,,,,,,,,,,,
,,20.3,,72.4,,,,,,,,,,,,
,,20.3,,72.5,,,,,,,,,,,,
,,20.3,,72.6,,,,,,,,,,,,
,,20.3,,72.7,,,,,,,,,,,,
42,380,20.3,207,72.8,337,74,156,308,283,202,271,346,,347,127,145
43,391,20.3,204,72.9,353,72,134,283,282,185,262,436,,281,49,141
59,389,20.3,207,73.0,354,70,176,290,264,332,282,415,,294,59,139
55,396,20.3,179,73.1,353,64,173,259,268,258,267,396,,345,184,141
45,398,20.3,175,73.2,360,66,215,260,260,240,252,384,,356,222,146
44,410,20.3,182,73.3,347,64,264,299,332,250,304,395,,306,285,139
45,397,20.3,190,73.4,367,63,243,306,344,229,255,374,,320,260,147
46,416,20.3,198,73.5,363,65,198,282,355,206,236,427,,290,223,146
41,397,20.3,204,73.6,369,66,235,297,373,184,244,438,,265,263,149
39,395,20.3,191,73.7,365,68,171,282,375,185,241,438,,280,223,154
38,407,20.3,210,73.8,370,71,144,338,414,174,216,448,,214,136,155
33,378,20.3,215,73.9,327,69,135,282,445,146,199,492,,226,183,157
33,384,20.3,218,74.0,330,69,137,275,430,156,207,532,,193,191,154
31,375,20.3,198,74.1,278,70,112,305,391,131,205,436,,259,153,148
33,365,20.3,196,74.2,273,72,128,319,388,150,192,414,,267,157,144
30,375,20.3,216,74.3,296,71,111,288,395,161,186,451,,261,170,152
29,363,20.3,215,74.4,217,71,114,298,405,133,195,451,,251,152,156
27,358,20.3,207,74.5,274,73,115,250,415,135,184,471,,279,119,159
30,369,20.3,199,74.6,276,71,118,262,395,131,194,459,,279,169,156
30,372,20.3,204,74.7,279,71,116,267,396,133,177,462,,271,150,157
,,20.3,,74.8,,,,,,,,,,,,
38,357,20.3,194,74.9,318,68,199,297,341,188,211,429,,274,250,143
30,354,20.3,209,75.0,311,70,129,268,386,157,181,473,,259,214,153
30,352,20.3,210,75.1,318,71,142,281,398,149,200,474,,245,238,154
34,340,20.3,191,75.2,320,67,160,290,395,156,207,446,,264,270,152
31,353,20.3,206,75.3,324,71,122,310,402,140,209,455,,236,134,153
34,328,20.3,195,75.4,303,72,119,268,420,136,189,458,,275,109,151
29,332,20.3,198,75.5,273,72,119,271,433,131,180,455,,274,131,153
34,361,20.3,218,75.6,302,74,149,290,462,117,202,481,,229,120,153
31,370,20.3,216,75.7,296,73,121,309,473,119,176,451,,240,149,153
32,341,20.3,196,75.8,310,72,128,260,436,125,178,450,,289,178,152
30,335,20.3,201,75.9,319,73,107,274,431,114,168,457,,268,113,154
28,328,20.3,200,76.0,341,72,94,263,428,107,175,465,,272,134,160
31,331,20.3,200,76.1,331,72,119,242,427,107,202,492,,266,185,152
31,324,20.3,206,76.2,308,71,107,221,439,117,191,493,,286,240,158
32,329,20.3,203,76.3,285,72,109,244,450,124,190,496,,260,243,159
29,328,20.3,210,76.4,271,71,122,236,457,127,196,505,,259,204,159
30,323,20.3,210,76.5,286,71,107,234,460,114,175,499,,266,164,157
33,345,20.3,216,76.6,295,72,130,267,484,116,190,498,,235,210,153
33,363,20.3,218,76.7,336,72,126,249,478,119,185,520,,231,211,158
34,350,20.3,211,76.8,299,71,158,273,432,126,211,517,,209,228,159
32,337,20.3,205,76.9,323,70,140,285,432,154,185,503,,212,247,159
33,331,20.3,214,77.0,327,73,123,236,444,127,192,536,,228,230,162
33,358,20.3,218,77.1,352,71,120,251,443,153,184,551,,198,212,160
30,360,20.3,215,77.2,350,71,111,252,447,115,177,525,,223,224,161
33,364,20.3,204,77.3,347,73,113,268,444,122,177,485,,246,215,162
29,366,20.3,209,77.4,357,72,100,273,466,114,168,491,,236,204,160
34,383,20.3,206,77.5,349,71,127,306,462,123,170,466,,228,225,161
32,379,20.3,187,77.6,347,73,137,253,435,105,204,497,,249,233,163
33,387,20.3,183,77.7,346,73,117,322,387,119,193,444,,234,178,162
29,355,20.3,187,77.8,351,72,113,324,391,99,180,435,,241,137,155
31,353,20.3,194,77.9,342,73,99,319,379,100,173,455,,226,129,162
30,356,20.3,184,78.0,349,70,141,267,375,113,205,456,,277,233,158
30,376,20.3,203,78.1,336,70,136,326,420,131,194,435,,239,212,155
32,386,20.3,205,78.2,351,71,143,322,352,120,180,433,,245,196,160
32,366,20.3,203,78.3,355,72,115,332,341,112,167,430,,238,171,159
31,361,20.3,194,78.4,361,69,128,295,392,134,181,448,,257,197,160
35,387,20.3,193,78.5,365,72,148,342,353,120,184,415,,243,230,157
29,383,20.3,191,78.6,352,70,133,405,349,120,185,370,,225,185,160
30,338,20.3,184,78.7,356,70,156,324,351,140,206,386,,290,198,163
30,339,20.3,187,78.8,360,71,172,352,362,150,217,370,,279,174,161
30,340,20.3,184,78.9,351,73,129,331,367,127,187,385,,284,167,161
28,348,20.3,194,79.0,344,73,125,348,353,110,178,413,,239,133,159
32,355,20.3,177,79.1,363,71,127,347,346,126,189,387,,266,144,160
30,350,20.3,193,79.2,340,72,124,401,358,128,186,361,,238,133,162
38,383,20.3,171,79.3,336,64,236,359,337,179,240,374,,267,243,153
46,349,20.3,164,79.4,341,63,179,354,319,147,218,380,,266,192,155
47,364,20.3,175,79.5,359,68,161,344,306,141,221,387,,269,159,162
49,364,20.3,163,79.6,353,72,156,360,319,169,218,384,,256,136,159
48,364,20.3,157,79.7,356,62,227,371,326,169,218,371,,258,171,155
46,363,20.3,167,79.8,358,64,162,387,323,161,224,366,,247,161,159
47,363,20.3,187,79.9,350,71,162,378,325,166,230,380,,242,175,160
38,367,20.3,176,80.0,353,72,145,340,353,175,210,382,,277,79,160
50,356,20.3,173,80.1,339,72,154,369,274,172,261,347,,283,167,155
46,363,20.3,167,80.2,335,62,198,356,255,141,231,357,,287,118,154
49,387,20.3,166,80.3,345,61,239,377,251,285,237,328,,295,221,153
46,389,20.3,156,80.4,253,60,275,377,257,168,229,327,,296,163,143
42,377,20.3,168,80.5,247,60,268,317,284,184,220,364,,319,189,146
47,390,20.3,163,80.6,342,67,163,281,263,207,222,405,,314,202,157
39,418,20.3,159,80.7,354,65,160,366,227,174,236,369,,265,124,158
39,419,20.3,164,80.8,346,66,166,345,226,148,223,372,,284,111,156
42,397,20.3,150,80.9,346,66,237,282,227,243,241,386,,332,187,145
40,406,20.3,150,81.0,333,67,148,299,215,167,213,411,,290,93,155
40,389,20.3,132,81.1,338,65,168,231,188,175,252,333,,436,107,151
42,380,20.3,141,81.2,338,65,226,222,256,219,257,311,,467,150,141
44,384,20.3,145,81.3,340,61,275,250,253,184,261,307,,442,162,141
39,395,20.3,129,81.4,329,63,162,227,272,186,244,296,,476,113,146
36,389,20.3,120,81.5,342,63,144,206,174,178,232,332,,461,122,153
33,378,20.3,123,81.6,346,65,152,234,177,164,239,316,,450,118,152
36,382,20.3,134,81.7,348,65,151,215,275,183,235,343,,442,114,151
35,383,20.3,155,81.8,344,67,402,299,342,136,177,320,,381,140,133
