Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall,clay,cec,ocs,sand,silt,ocd,nitrogen,wv1500,cfvo,wv0033,wv0010,soc,bdod,phh2o
8.3,93.1,20,28.41,80.53,2.08,282,160,54,487,231,402,495,151,54,320,364,568,120,52
8.4,77,20,25.78,81.53,0.15,332,230,58,388,280,366,440,202,141,318,395,475,135,57
8.4,77.1,28,25.78,81.53,0.15,316,268,61,350,334,384,488,184,91,319,375,478,136,56
8.4,77.2,66,23.03,89.67,0,336,192,55,387,277,348,384,195,104,284,375,424,130,55
8.4,77.3,80,23.03,89.67,0,355,221,51,350,295,364,439,193,146,287,360,409,124,57
8.4,77.4,129,23.03,89.67,0,356,223,63,345,299,394,466,182,153,293,369,487,132,60
8.4,77.5,603,23.03,89.67,0,315,186,80,343,342,474,483,206,122,297,386,683,112,56
8.4,77.6,115,23.03,89.67,0,340,248,49,378,282,303,272,178,106,290,342,492,137,66
8.4,77.7,59,23.03,89.67,0,366,266,41,379,256,283,234,163,107,291,343,454,144,69
8.4,77.8,39,23.03,89.67,0,334,280,41,383,284,294,265,174,65,283,338,513,146,71
8.4,77.9,57,25.88,86.21,0.12,293,265,42,402,306,292,231,166,114,289,342,633,135,70
8.4,78,14,25.88,86.21,0.12,324,244,48,348,328,286,204,168,92,302,356,377,146,69
8.4,79.9,35,26.08,86.28,14.32,289,209,64,416,295,342,474,188,111,308,334,573,126,60
8.4,80,74,26.08,86.28,14.32,302,180,52,466,232,370,442,190,115,316,340,513,125,58
8.4,80.1,80,26.08,86.28,14.32,261,178,59,497,241,361,457,193,97,309,343,523,126,58
8.4,80.2,83,26.08,86.28,14.32,262,217,55,504,234,337,307,171,77,307,348,353,135,60
8.4,80.3,87,26.08,86.28,14.32,289,195,52,478,233,356,351,167,96,305,355,417,135,58
8.4,80.4,79,25.19,90.88,20.32,245,244,64,477,279,358,360,183,97,291,348,446,134,59
8.4,80.5,104,25.19,90.88,20.32,294,165,60,480,226,347,399,185,88,312,344,484,130,59
8.4,80.6,105,25.19,90.88,20.32,297,184,50,443,259,361,460,177,119,318,353,444,130,57
8.4,81.3,9,26.88,83.72,17.2,277,268,52,351,372,421,642,184,93,327,376,669,123,63
8.5,77.1,67,25.78,81.53,0.15,328,214,62,385,287,386,421,214,159,290,373,489,127,55
8.5,77.2,136,23.03,89.67,0,322,205,56,363,315,402,441,200,104,280,383,389,126,57
8.5,77.3,127,23.03,89.67,0,339,211,63,377,283,375,441,199,133,289,370,440,123,58
8.5,77.4,1324,23.03,89.67,0,352,187,70,353,295,502,553,188,74,344,421,872,106,53
8.5,77.5,406,23.03,89.67,0,312,201,67,450,239,393,442,177,108,300,375,542,126,57
8.5,77.6,111,23.03,89.67,0,372,250,46,371,257,295,278,163,91,286,352,374,141,67
8.5,77.7,80,23.03,89.67,0,373,279,42,381,246,298,275,173,75,284,339,308,147,69
8.5,77.8,55,23.03,89.67,0,300,257,37,414,286,317,231,172,106,295,336,532,143,72
8.5,77.9,33,25.88,86.21,0.12,335,253,37,426,238,276,246,163,101,290,342,494,151,73
8.5,78,16,25.88,86.21,0.12,268,234,36,413,319,284,189,162,71,291,327,759,137,71
8.5,78.1,12,25.88,86.21,0.12,318,201,47,364,317,305,224,182,69,313,357,449,145,68
8.5,79.9,21,26.08,86.28,14.32,292,251,62,429,279,340,483,183,122,310,332,711,122,59
8.5,80,50,26.08,86.28,14.32,283,204,55,442,276,317,439,199,125,314,355,491,126,59
8.5,80.1,46,26.08,86.28,14.32,282,169,54,475,242,343,451,171,125,300,342,502,124,58
8.5,80.2,52,26.08,86.28,14.32,287,163,54,471,242,359,324,178,80,301,353,390,133,58
8.5,80.3,59,26.08,86.28,14.32,265,178,52,489,246,354,428,184,100,310,346,493,131,58
8.5,80.4,71,25.19,90.88,20.32,299,195,58,464,237,346,344,181,101,299,345,428,133,59
8.5,80.5,91,25.19,90.88,20.32,284,192,51,489,227,362,395,184,108,322,346,412,131,58
8.5,80.6,114,25.19,90.88,20.32,274,170,53,454,272,356,503,184,123,304,349,470,128,58
8.5,80.7,117,25.19,90.88,20.32,280,188,66,447,273,379,650,189,138,310,356,547,117,57
8.5,80.8,84,25.19,90.88,20.32,276,201,57,411,312,378,586,199,123,309,364,537,128,59
8.5,80.9,144,25.19,90.88,20.32,298,216,60,327,375,374,603,204,197,323,399,665,115,57
8.5,81,93,26.88,83.72,17.2,318,255,61,299,382,385,596,200,133,308,394,694,115,59
8.5,81.1,12,26.88,83.72,17.2,378,246,50,289,333,372,513,208,122,306,381,529,131,61
8.5,81.3,9,26.88,83.72,17.2,239,300,57,387,373,389,663,179,107,318,379,825,120,61
8.6,76.9,66,25.78,81.53,0.15,320,227,59,357,323,377,371,203,161,303,392,407,132,54
8.6,77.1,92,25.78,81.53,0.15,344,244,61,370,287,399,416,203,141,309,383,419,124,55
8.6,77.2,399,23.03,89.67,0,329,210,64,402,269,400,479,186,100,291,383,465,123,56
8.6,77.3,624,23.03,89.67,0,340,188,70,375,285,521,429,207,88,280,409,661,101,53
8.6,77.4,560,23.03,89.67,0,334,207,70,392,274,459,491,179,119,290,359,779,108,54
8.6,77.5,350,23.03,89.67,0,316,184,60,440,244,391,395,177,138,262,365,434,120,57
8.6,77.6,88,23.03,89.67,0,349,229,42,383,268,287,253,173,90,290,348,306,144,66
8.6,77.7,64,23.03,89.67,0,332,273,44,379,290,262,268,170,90,306,358,330,147,69
8.6,77.8,43,23.03,89.67,0,298,247,35,434,268,287,209,163,83,294,339,602,137,72
8.6,77.9,16,25.88,86.21,0.12,353,267,43,342,305,293,215,182,56,291,358,357,146,68
8.6,78,8,25.88,86.21,0.12,341,239,44,344,315,308,225,179,61,312,375,454,143,69
8.6,80,38,26.08,86.28,14.32,316,193,66,418,265,339,470,204,128,293,352,543,124,58
8.6,80.1,67,26.08,86.28,14.32,285,196,56,465,250,360,485,175,137,311,353,552,126,57
8.6,80.2,77,26.08,86.28,14.32,259,192,67,485,256,399,499,181,134,321,355,671,123,58
8.6,80.3,59,26.08,86.28,14.32,277,194,66,468,255,372,490,174,113,305,356,558,127,56
8.6,80.4,84,25.19,90.88,20.32,297,178,50,459,245,372,425,174,111,316,352,475,129,57
8.6,80.5,117,25.19,90.88,20.32,270,210,64,466,264,362,612,174,161,305,350,609,122,57
8.6,80.6,123,25.19,90.88,20.32,278,176,59,442,280,384,536,178,159,310,354,548,126,59
8.6,80.7,100,25.19,90.88,20.32,284,195,60,430,287,388,641,184,143,312,356,680,119,58
8.6,80.8,112,25.19,90.88,20.32,292,225,61,317,391,384,593,208,183,334,386,761,116,58
8.6,80.9,59,25.19,90.88,20.32,308,207,64,340,353,354,619,198,146,306,376,682,117,57
8.6,81,55,26.88,83.72,17.2,343,218,57,313,344,367,562,210,111,301,384,657,117,59
8.6,81.1,65,26.88,83.72,17.2,346,248,61,276,377,393,586,204,154,303,381,791,117,59
8.6,81.2,10,26.88,83.72,17.2,332,297,55,313,356,374,634,200,105,311,389,743,130,62
8.7,76.8,19,25.78,81.53,0.15,355,218,61,378,267,431,341,188,111,330,390,469,126,53
8.7,76.9,69,25.78,81.53,0.15,321,232,58,382,297,360,412,199,133,312,401,327,123,53
8.7,77,72,25.78,81.53,0.15,335,203,58,368,297,380,385,199,128,334,402,329,122,53
8.7,77.1,123,25.78,81.53,0.15,331,204,61,391,279,393,431,206,107,313,385,414,123,56
8.7,77.2,1278,23.03,89.67,0,313,238,81,355,332,504,537,210,93,340,425,777,100,52
8.7,77.3,462,23.03,89.67,0,313,161,58,399,288,408,441,177,116,290,376,411,125,56
8.7,77.4,74,23.03,89.67,0,315,179,48,408,277,339,275,172,82,277,373,316,139,59
8.7,77.5,67,23.03,89.67,0,375,228,41,358,267,275,232,147,103,269,352,493,142,66
8.7,77.6,49,23.03,89.67,0,364,229,41,376,259,285,219,165,103,293,374,360,143,65
8.7,77.8,33,23.03,89.67,0,338,253,32,417,245,258,198,169,77,292,342,416,,72
8.7,78,18,25.88,86.21,0.12,324,219,35,402,274,253,219,169,81,285,355,425,152,75
8.7,80,30,26.08,86.28,14.32,341,205,59,415,244,329,446,201,137,294,361,536,125,58
8.7,80.1,54,26.08,86.28,14.32,322,208,71,404,274,379,521,187,130,296,359,617,121,57
8.7,80.2,39,26.08,86.28,14.32,311,196,59,432,258,378,467,196,125,306,372,599,122,59
8.7,80.3,49,26.08,86.28,14.32,308,194,56,455,237,365,392,189,109,301,359,522,130,59
8.7,80.4,78,25.19,90.88,20.32,309,225,58,449,242,352,368,173,139,305,355,460,132,60
8.7,80.5,98,25.19,90.88,20.32,280,196,54,454,266,354,462,178,129,310,348,462,130,58
8.7,80.6,109,25.19,90.88,20.32,259,202,58,457,283,388,621,182,149,321,358,676,124,58
8.7,80.7,130,25.19,90.88,20.32,324,198,61,348,328,392,600,205,170,317,376,656,114,57
8.7,80.8,63,25.19,90.88,20.32,322,223,57,314,364,354,600,216,121,320,386,604,120,57
8.7,80.9,41,25.19,90.88,20.32,302,213,58,383,315,388,568,205,105,301,375,675,128,58
8.7,81,35,26.88,83.72,17.2,351,220,52,298,352,374,563,211,188,305,386,594,121,59
8.7,81.1,38,26.88,83.72,17.2,281,270,66,358,361,401,661,190,93,301,367,707,119,60
8.8,76.8,62,24.42,83.04,0.22,338,178,57,397,265,361,332,173,164,338,399,295,116,54
8.8,76.9,59,24.42,83.04,0.22,332,211,65,347,321,378,411,201,128,329,397,372,119,53
8.8,77,124,24.42,83.04,0.22,345,208,62,357,298,394,508,195,140,329,404,407,123,54
8.8,77.1,255,24.42,83.04,0.22,335,196,69,377,288,442,477,216,119,334,413,525,114,53
8.8,77.3,146,22.88,87.38,0,305,191,56,394,301,413,425,175,139,272,372,442,128,58
8.8,77.4,95,22.88,87.38,0,312,231,42,406,282,303,262,166,72,283,360,294,146,62
8.8,77.5,90,22.88,87.38,0,336,251,35,399,264,254,224,162,78,288,343,284,142,67
8.8,77.6,84,22.88,87.38,0,321,258,38,405,273,292,238,168,79,292,335,426,136,68
8.8,77.7,73,22.88,87.38,0,312,259,35,389,299,250,204,164,87,293,346,276,147,70
8.8,77.8,32,22.88,87.38,0,327,243,37,410,262,258,174,175,71,267,343,322,149,72
8.8,77.9,59,25.22,85.14,0.01,324,303,42,429,246,276,195,181,87,283,338,246,150,74
8.8,78,22,25.22,85.14,0.01,314,242,35,404,282,261,212,164,67,276,348,461,155,77
8.8,78.1,11,25.22,85.14,0.01,314,205,38,387,299,252,175,187,86,296,354,463,143,70
8.8,80,11,26.18,83.74,3.6,327,264,52,402,271,295,288,178,111,318,357,476,133,61
8.8,80.1,21,26.18,83.74,3.6,281,221,51,423,295,341,304,174,108,312,354,419,131,59
8.8,80.2,64,26.18,83.74,3.6,314,237,62,424,263,376,480,194,181,308,363,653,125,58
8.8,80.3,84,26.18,83.74,3.6,282,198,54,452,266,363,489,175,172,311,353,618,124,57
8.8,80.4,81,25.66,87.17,5.55,249,184,52,489,262,343,484,156,142,310,346,400,131,58
8.8,80.5,89,25.66,87.17,5.55,255,170,58,495,249,359,498,162,117,319,350,549,126,57
8.8,80.6,107,25.66,87.17,5.55,258,200,54,458,284,369,570,166,153,312,360,500,128,59
8.8,80.7,91,25.66,87.17,5.55,314,224,63,332,354,384,559,203,182,319,385,670,118,58
8.8,80.8,65,25.66,87.17,5.55,273,240,62,372,355,350,577,208,104,305,377,536,126,60
8.8,80.9,27,25.66,87.17,5.55,268,228,65,402,330,379,622,203,121,284,376,572,119,58
8.8,81,25,27.25,81.12,6.7,292,261,63,369,339,386,642,193,101,307,375,724,117,60
8.8,81.1,4,27.25,81.12,6.7,240,297,57,348,412,435,670,181,98,314,385,596,93,63
8.9,76.7,44,24.42,83.04,0.22,322,198,62,335,343,337,343,182,136,324,402,321,124,53
8.9,76.8,85,24.42,83.04,0.22,344,180,56,366,290,351,358,174,121,336,400,363,112,52
8.9,76.9,68,24.42,83.04,0.22,317,186,63,351,332,395,406,189,118,332,398,330,117,53
8.9,77,297,24.42,83.04,0.22,340,183,65,381,278,465,457,202,98,320,389,466,111,52
8.9,77.1,183,24.42,83.04,0.22,335,202,51,360,305,409,440,197,129,338,406,359,118,54
8.9,77.2,783,22.88,87.38,0,339,210,68,370,291,490,520,197,102,310,384,590,114,55
8.9,77.3,190,22.88,87.38,0,313,156,55,432,255,393,420,169,117,268,371,416,123,57
8.9,77.4,140,22.88,87.38,0,285,208,42,452,263,306,271,157,51,267,348,290,140,62
8.9,77.5,110,22.88,87.38,0,336,233,36,420,244,279,220,170,59,266,335,318,144,66
8.9,77.6,83,22.88,87.38,0,336,233,39,402,262,278,216,172,94,269,325,275,144,67
8.9,77.7,61,22.88,87.38,0,333,249,31,397,270,267,204,172,67,285,337,299,146,70
8.9,77.8,52,22.88,87.38,0,300,264,38,436,264,267,190,162,78,283,343,392,145,72
8.9,77.9,62,25.22,85.14,0.01,290,281,44,460,251,304,204,169,100,302,348,400,146,74
8.9,78,48,25.22,85.14,0.01,313,242,40,448,239,303,214,163,72,285,346,590,,75
8.9,78.1,20,25.22,85.14,0.01,293,241,30,406,301,285,213,175,64,291,369,707,148,72
8.9,80,10,26.18,83.74,3.6,276,274,50,441,283,311,315,165,91,318,356,521,130,62
8.9,80.1,32,26.18,83.74,3.6,324,211,68,390,286,386,511,193,136,303,363,608,121,58
8.9,80.2,48,26.18,83.74,3.6,355,219,53,351,294,353,406,210,168,317,354,535,126,58
8.9,80.3,66,26.18,83.74,3.6,309,214,52,429,262,361,418,185,148,301,361,439,130,57
8.9,80.4,69,25.66,87.17,5.55,292,198,59,418,290,370,510,184,141,316,361,552,121,57
8.9,80.5,96,25.66,87.17,5.55,269,195,60,459,271,398,476,175,130,304,358,562,124,57
8.9,80.6,101,25.66,87.17,5.55,282,197,62,435,283,368,599,189,129,322,357,512,118,57
8.9,80.7,50,25.66,87.17,5.55,297,222,66,415,288,392,686,199,97,304,369,717,118,59
8.9,80.8,36,25.66,87.17,5.55,290,214,57,353,357,373,633,205,106,312,374,599,122,59
8.9,80.9,18,25.66,87.17,5.55,303,249,63,358,339,394,605,200,130,308,379,706,121,59
8.9,81,6,27.25,81.12,6.7,254,296,58,351,395,394,731,183,78,315,384,623,106,59
9,76.6,5,24.42,83.04,0.22,349,225,59,311,340,419,397,194,97,317,390,422,113,54
9,76.7,47,24.42,83.04,0.22,322,137,53,369,308,350,314,170,143,333,395,334,116,53
9,76.8,49,24.42,83.04,0.22,288,166,56,381,331,352,301,168,121,334,391,311,117,53
9,76.9,88,24.42,83.04,0.22,346,199,65,342,312,432,467,206,164,332,397,396,114,53
9,77,73,24.42,83.04,0.22,355,219,64,351,293,397,452,193,133,324,397,353,118,53
9,77.1,335,24.42,83.04,0.22,332,219,62,376,292,444,401,203,97,320,382,441,116,52
9,77.5,125,22.88,87.38,0,299,229,36,431,270,286,226,170,43,272,320,303,140,65
9,77.6,119,22.88,87.38,0,324,230,38,425,252,284,219,163,106,283,326,453,137,67
9,77.7,106,22.88,87.38,0,305,269,36,422,273,283,227,175,85,293,346,426,136,69
9,77.8,81,22.88,87.38,0,353,244,37,408,238,274,209,173,87,294,356,459,144,71
9,77.9,78,25.22,85.14,0.01,314,284,37,433,253,303,203,180,92,304,352,701,148,74
9,78,55,25.22,85.14,0.01,321,229,21,460,218,252,189,162,60,263,324,471,161,80
9,78.1,24,25.22,85.14,0.01,316,240,36,393,291,297,228,159,73,285,352,535,151,72
9,78.2,9,25.22,85.14,0.01,304,207,39,376,320,294,234,181,73,297,366,604,142,70
9,80.1,14,26.18,83.74,3.6,315,246,62,404,281,342,511,186,123,309,358,921,121,60
9,80.2,40,26.18,83.74,3.6,330,216,61,386,284,392,576,193,117,302,371,709,121,58
9,80.3,52,26.18,83.74,3.6,343,207,58,386,270,383,480,203,102,303,362,586,119,58
9,80.4,90,25.66,87.17,5.55,301,211,58,393,306,397,531,183,130,318,363,709,118,57
9,80.5,94,25.66,87.17,5.55,254,250,59,433,314,356,548,176,136,328,365,608,120,57
9,80.6,110,25.66,87.17,5.55,278,221,69,408,315,369,617,187,130,314,360,598,119,57
9,80.7,55,25.66,87.17,5.55,305,241,66,381,314,365,693,200,95,304,373,630,120,59
9,80.8,35,25.66,87.17,5.55,330,229,63,357,313,385,557,192,115,303,371,576,121,59
9,80.9,3,25.66,87.17,5.55,248,287,58,398,354,417,619,178,96,307,389,614,98,62
9.1,76.5,10,28.19,74.24,2.08,346,213,62,355,299,389,433,195,100,330,392,622,112,56
9.1,76.6,5,24.42,83.04,0.22,322,177,60,326,352,385,333,179,67,332,393,387,113,53
9.1,76.7,29,24.42,83.04,0.22,299,157,54,380,320,358,291,167,138,338,397,313,118,53
9.1,76.8,26,24.42,83.04,0.22,341,179,59,364,294,386,346,182,127,336,393,361,117,53
9.1,76.9,159,24.42,83.04,0.22,350,166,66,335,315,411,402,206,154,340,403,424,112,53
9.1,77,332,24.42,83.04,0.22,317,200,65,374,309,426,449,206,104,327,388,481,109,52
9.1,77.1,71,24.42,83.04,0.22,319,224,62,398,283,399,472,202,135,316,393,432,121,56
9.1,77.2,1198,22.88,87.38,0,373,234,78,315,312,529,590,211,106,305,413,762,105,53
9.1,77.3,215,22.88,87.38,0,317,217,57,423,261,398,354,168,119,275,371,443,129,60
9.1,77.4,199,22.88,87.38,0,265,247,42,433,302,338,275,164,98,271,355,568,135,63
9.1,77.5,164,22.88,87.38,0,332,237,40,405,264,329,266,176,52,279,352,288,137,66
9.1,77.6,130,22.88,87.38,0,348,262,36,381,271,291,248,175,67,277,343,539,138,68
9.1,77.7,114,22.88,87.38,0,333,268,40,402,266,280,233,176,84,283,345,432,133,71
9.1,77.8,111,22.88,87.38,0,347,275,45,414,239,298,268,183,107,302,343,308,140,71
9.1,77.9,75,25.22,85.14,0.01,344,260,44,423,233,294,252,171,98,284,345,379,145,75
9.1,78,55,25.22,85.14,0.01,328,290,47,430,242,286,261,172,110,286,328,489,147,77
9.1,78.1,36,25.22,85.14,0.01,353,286,47,397,250,280,226,181,63,264,353,566,147,78
9.1,78.2,19,25.22,85.14,0.01,336,267,46,372,292,305,240,170,54,291,363,573,141,69
9.1,78.3,11,25.22,85.14,0.01,341,300,40,383,276,288,247,176,78,311,353,716,,73
9.1,80.1,10,26.18,83.74,3.6,294,280,52,404,302,332,365,171,83,325,357,581,126,62
9.1,80.2,34,26.18,83.74,3.6,329,211,61,389,282,426,543,190,108,294,364,675,122,59
9.1,80.3,33,26.18,83.74,3.6,322,213,58,408,270,385,382,193,114,296,362,518,130,58
9.1,80.4,71,25.66,87.17,5.55,302,214,55,382,316,369,524,189,114,305,368,630,118,58
9.1,80.5,55,25.66,87.17,5.55,259,246,56,425,315,399,553,180,92,313,365,676,120,58
9.1,80.6,78,25.66,87.17,5.55,284,221,62,409,306,397,585,191,104,311,367,566,120,58
9.1,80.7,39,25.66,87.17,5.55,295,223,63,406,299,398,649,197,153,288,370,729,121,59
9.1,80.8,28,25.66,87.17,5.55,269,250,72,395,336,404,628,195,124,298,369,616,119,60
9.2,76.5,11,28.19,74.24,2.08,309,164,59,353,337,427,399,181,81,332,388,427,124,56
9.2,76.6,15,24.42,83.04,0.22,302,168,50,364,334,374,287,182,117,327,401,289,123,53
9.2,76.7,29,24.42,83.04,0.22,324,185,52,383,293,387,289,180,157,330,395,299,118,54
9.2,76.8,184,24.42,83.04,0.22,324,160,59,353,323,400,358,187,142,341,403,360,109,53
9.2,76.9,134,24.42,83.04,0.22,312,170,60,386,303,398,342,174,141,321,394,371,110,52
9.2,77,447,24.42,83.04,0.22,313,181,60,389,298,415,408,195,85,318,384,447,108,52
9.2,77.1,418,24.42,83.04,0.22,335,214,72,360,304,466,417,204,90,333,389,483,111,53
9.2,77.2,1515,22.88,87.38,0,321,211,86,331,348,569,543,217,76,322,446,867,93,52
9.2,77.3,589,22.88,87.38,0,341,183,63,374,285,453,443,176,104,303,382,502,121,57
9.2,77.4,188,22.88,87.38,0,288,225,45,432,280,320,312,165,61,285,360,364,138,63
9.2,77.5,182,22.88,87.38,0,313,251,41,433,254,357,320,177,145,284,352,590,130,66
9.2,77.6,132,22.88,87.38,0,337,268,38,396,266,301,242,173,85,284,341,304,138,69
9.2,77.7,128,22.88,87.38,0,350,273,47,369,282,323,287,180,118,297,345,432,139,71
9.2,77.8,102,22.88,87.38,0,356,268,39,391,253,302,297,173,94,283,330,357,141,71
9.2,77.9,89,25.22,85.14,0.01,347,283,40,408,245,296,275,171,96,277,347,503,131,75
9.2,78,57,25.22,85.14,0.01,341,295,40,399,260,319,299,185,105,287,345,617,145,76
9.2,78.1,29,25.22,85.14,0.01,363,274,41,382,256,289,248,171,64,280,361,504,139,72
9.2,78.2,27,25.22,85.14,0.01,325,312,43,387,288,294,255,184,80,300,354,598,143,77
9.2,78.3,19,25.22,85.14,0.01,365,308,48,368,267,313,252,183,81,302,349,687,132,73
9.2,78.4,12,25.22,85.14,0.01,369,298,42,325,306,318,259,182,90,296,359,596,,71
9.2,78.5,9,26.39,83.15,0.14,347,286,39,330,323,303,261,192,59,288,383,506,,70
9.2,78.6,10,26.39,83.15,0.14,352,273,47,331,317,310,228,185,51,298,383,,,73
9.2,78.7,6,26.39,83.15,0.14,348,262,38,301,351,299,258,183,59,313,362,488,137,70
9.2,80.2,44,26.18,83.74,3.6,305,247,61,402,292,419,560,187,143,293,363,757,125,59
9.2,80.3,39,26.18,83.74,3.6,315,221,54,406,279,369,356,167,121,305,365,543,130,59
9.2,80.4,55,25.66,87.17,5.55,274,225,61,401,325,404,532,178,103,308,362,627,120,58
9.2,80.5,57,25.66,87.17,5.55,283,197,61,381,336,408,584,197,111,303,364,616,117,58
9.2,80.7,21,25.66,87.17,5.55,278,219,56,428,294,357,534,190,117,300,371,503,127,61
9.2,80.8,12,25.66,87.17,5.55,290,252,55,374,336,372,577,197,92,302,388,672,130,62
9.2,92.8,39,28.27,79.56,0.63,282,133,50,448,269,372,475,145,113,304,368,459,116,52
9.3,76.4,2,28.33,75.18,1.66,337,208,58,305,358,390,372,202,85,342,431,790,109,53
9.3,76.5,-1,28.33,75.18,1.66,307,213,68,333,361,432,416,195,76,330,389,582,112,54
9.3,76.6,11,23.54,84.8,0.06,302,205,66,369,329,423,341,172,64,327,396,410,117,54
9.3,76.7,7,23.54,84.8,0.06,330,191,55,348,322,404,318,175,125,330,392,336,116,53
9.3,76.8,72,23.54,84.8,0.06,277,142,57,380,343,361,312,174,154,342,400,338,111,53
9.3,76.9,199,23.54,84.8,0.06,363,173,55,339,299,376,388,195,128,329,404,388,113,52
9.3,77,504,23.54,84.8,0.06,302,184,56,398,299,387,423,173,97,325,387,482,110,52
9.3,77.1,626,23.54,84.8,0.06,330,243,70,388,281,466,455,196,92,332,382,502,114,53
9.3,77.2,1343,21.91,86.16,0,390,178,74,346,264,489,503,211,68,309,404,563,104,53
9.3,77.3,898,21.91,86.16,0,366,205,82,317,317,512,533,195,106,340,409,679,114,56
9.3,77.4,185,21.91,86.16,0,280,258,55,408,312,350,361,166,67,294,366,407,133,62
9.3,77.5,146,21.91,86.16,0,317,291,46,419,264,342,324,152,87,250,354,286,142,67
9.3,77.6,124,21.91,86.16,0,371,277,45,388,241,326,318,179,96,290,339,635,133,71
9.3,77.7,96,21.91,86.16,0,324,277,39,391,285,327,317,165,108,279,338,286,142,71
9.3,77.8,87,21.91,86.16,0,340,287,43,383,276,302,304,169,109,272,339,332,140,73
9.3,77.9,79,24.59,84.21,0,365,283,47,386,249,308,283,178,80,289,340,433,138,75
9.3,78,51,24.59,84.21,0,382,297,42,372,246,309,311,178,66,292,337,331,144,75
9.3,78.1,58,24.59,84.21,0,340,277,39,372,288,284,249,176,72,283,365,509,136,77
9.3,78.2,50,24.59,84.21,0,340,297,43,369,291,310,245,177,70,283,348,735,134,78
9.3,78.3,34,24.59,84.21,0,331,288,47,368,301,320,281,183,80,293,357,773,,75
9.3,78.4,26,24.59,84.21,0,362,320,41,337,301,324,237,176,61,282,343,502,138,72
9.3,78.5,23,25.34,84.03,0.03,320,295,40,332,348,310,256,173,58,282,350,555,,71
9.3,78.6,18,25.34,84.03,0.03,346,276,37,346,308,286,261,189,52,293,366,399,,74
9.3,78.7,14,25.34,84.03,0.03,339,311,37,347,313,304,286,195,61,298,350,583,137,73
9.3,78.8,4,25.34,84.03,0.03,336,362,43,335,329,351,278,199,97,324,360,487,138,76
9.3,78.9,13,25.34,84.03,0.03,379,279,49,318,303,303,323,202,52,328,372,440,140,68
9.3,79,5,25.34,84.03,0.03,368,285,39,331,300,329,320,196,66,328,356,,,70
9.3,79.3,9,26.79,78.89,0.18,280,268,62,369,351,373,380,209,114,314,364,532,126,65
9.3,80.2,13,26.61,79.19,0.54,283,253,58,397,320,384,480,175,88,299,374,555,126,58
9.3,80.3,27,26.61,79.19,0.54,314,214,53,383,303,357,463,183,122,299,364,544,129,59
9.3,80.4,45,26.64,79.84,1.26,318,235,54,405,277,359,411,176,111,294,359,421,132,61
9.3,80.5,54,26.64,79.84,1.26,296,196,61,392,312,396,611,190,120,289,373,676,116,58
