Longitude,Latitude,Error
78.7,14,No data available
78.8,14,No data available
78.9,14,No data available
79,14,No data available
79.1,14,No data available
79.2,14,No data available
79.3,14,No data available
79.5,14,No data available
79.6,14,No data available
79.7,14,No data available
79.8,14,No data available
79.9,14,No data available
80,14,No data available
80.1,14,No data available
